epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,22048.5,0.66544,1.03739,1.27115,0.50744,0.75878,0.60464,0.495,0.69546,1.57056,1.30075,0.000952889,0.000952889,0.000952889
23,23124.8,0.6625,1.03024,1.26558,0.51218,0.76613,0.6187,0.51989,0.63979,1.48131,1.25998,0.000948377,0.000948377,0.000948377
24,24156.8,0.65815,1.02516,1.26494,0.51113,0.7634,0.61361,0.51074,0.65509,1.44319,1.27103,0.000943671,0.000943671,0.000943671
25,25162.9,0.65525,1.02769,1.26076,0.52378,0.77165,0.62669,0.5269,0.63447,1.50304,1.25079,0.000938772,0.000938772,0.000938772
26,26423.7,0.64951,1.01085,1.25641,0.50666,0.78908,0.62528,0.52764,0.63698,1.59936,1.2585,0.000933683,0.000933683,0.000933683
27,27411.6,0.64393,1.01091,1.25272,0.51986,0.78261,0.62636,0.52483,0.63772,1.5827,1.2578,0.000928405,0.000928405,0.000928405
28,28395.2,0.64582,1.01219,1.25525,0.51261,0.79057,0.63221,0.531,0.64683,1.5474,1.25942,0.000922942,0.000922942,0.000922942
29,29356.5,0.6406,0.99921,1.24859,0.51989,0.76307,0.62082,0.51887,0.66045,1.60883,1.27547,0.000917296,0.000917296,0.000917296
30,30316.3,0.63418,0.99396,1.2458,0.50251,0.7831,0.61747,0.51719,0.64627,1.56554,1.27213,0.000911469,0.000911469,0.000911469
31,31319.1,0.63137,0.98885,1.24156,0.51822,0.78187,0.6279,0.53154,0.63172,1.54108,1.24254,0.000905463,0.000905463,0.000905463
32,32386,0.63059,0.98823,1.24185,0.50803,0.7786,0.62596,0.52473,0.64226,1.57078,1.2612,0.000899282,0.000899282,0.000899282
33,33449.3,0.63064,0.99125,1.24378,0.5146,0.78847,0.62802,0.528,0.62801,1.65562,1.24432,0.000892928,0.000892928,0.000892928
34,34509.6,0.62703,0.98041,1.23692,0.52401,0.79662,0.63478,0.5357,0.61601,1.54674,1.23097,0.000886404,0.000886404,0.000886404
35,35626.9,0.62576,0.97801,1.23707,0.50935,0.80768,0.63381,0.53425,0.62715,1.66912,1.24156,0.000879713,0.000879713,0.000879713
36,36677,0.61535,0.97243,1.23081,0.51076,0.81726,0.63903,0.54101,0.62314,1.497,1.23523,0.000872857,0.000872857,0.000872857
37,37946.2,0.62073,0.97089,1.23471,0.51851,0.80633,0.63705,0.54115,0.61948,1.57025,1.22738,0.000865839,0.000865839,0.000865839
38,39698.4,0.61578,0.96549,1.23099,0.52261,0.79583,0.63684,0.53975,0.6133,1.61343,1.22597,0.000858664,0.000858664,0.000858664
39,40774.2,0.61375,0.96026,1.22874,0.52647,0.78646,0.63735,0.53587,0.62578,1.60387,1.23743,0.000851333,0.000851333,0.000851333
40,41749.5,0.60961,0.96002,1.22378,0.51159,0.81513,0.64202,0.53996,0.62378,1.54737,1.23893,0.000843851,0.000843851,0.000843851
41,42825,0.60488,0.95089,1.22247,0.51406,0.81703,0.64105,0.53863,0.62472,1.57382,1.23384,0.00083622,0.00083622,0.00083622
42,43827.3,0.60497,0.94895,1.22193,0.52024,0.8124,0.64196,0.54268,0.61942,1.56299,1.23244,0.000828443,0.000828443,0.000828443
43,44791.6,0.60225,0.94455,1.2208,0.52057,0.81489,0.6462,0.54612,0.61264,1.51164,1.22798,0.000820525,0.000820525,0.000820525
44,45754.9,0.59735,0.94315,1.21633,0.52788,0.79881,0.64767,0.54909,0.61278,1.39971,1.22358,0.000812468,0.000812468,0.000812468
45,46717.4,0.60287,0.94532,1.22255,0.52695,0.78707,0.64435,0.54312,0.62025,1.56271,1.23504,0.000804277,0.000804277,0.000804277
