epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1015.84,1.18854,1.56291,1.68709,0.33535,0.80756,0.3916,0.24703,1.33515,1.62892,2.00281,0.0802119,0.00019988,0.00019988
2,2052.52,0.99694,1.37718,1.52165,0.39241,0.78294,0.45563,0.32833,1.05779,1.87974,1.76027,0.0604119,0.000399836,0.000399836
3,3255.02,0.93349,1.31569,1.47256,0.39982,0.79234,0.51096,0.38278,0.89137,1.60739,1.5455,0.0406117,0.000599619,0.000599619
4,4257.41,0.89281,1.27804,1.43922,0.43573,0.75365,0.51228,0.38983,0.88822,1.82241,1.5253,0.0208111,0.000799098,0.000799098
5,5224.78,0.84403,1.24288,1.40741,0.41462,0.78442,0.49716,0.3989,0.77929,1.73314,1.42314,0.00101018,0.000998144,0.000998144
6,6191.01,0.81491,1.20596,1.38254,0.44626,0.77209,0.52529,0.41273,0.84914,1.74657,1.48845,0.000997288,0.000997288,0.000997288
7,7157.09,0.79335,1.18428,1.36331,0.45104,0.78774,0.53918,0.42919,0.78653,1.55703,1.42509,0.000996097,0.000996097,0.000996097
8,8123.06,0.77572,1.1644,1.35297,0.44835,0.79108,0.53713,0.43222,0.73891,1.69785,1.36434,0.00099469,0.00099469,0.00099469
9,9089.66,0.76189,1.15491,1.33879,0.4659,0.74546,0.55558,0.44814,0.74043,1.62422,1.37294,0.000993068,0.000993068,0.000993068
10,10055.7,0.75191,1.14179,1.33128,0.45594,0.76765,0.56284,0.45253,0.76734,1.62376,1.39793,0.000991232,0.000991232,0.000991232
11,11070.5,0.73737,1.12449,1.32275,0.46967,0.76482,0.57511,0.46885,0.72867,1.39863,1.35972,0.000989183,0.000989183,0.000989183
12,12039.5,0.71708,1.10837,1.30485,0.48373,0.76321,0.56688,0.46674,0.69988,1.71136,1.32014,0.000986922,0.000986922,0.000986922
13,13006.1,0.71249,1.09634,1.30147,0.48386,0.78969,0.58748,0.48518,0.67892,1.51823,1.30403,0.000984449,0.000984449,0.000984449
14,13986.1,0.69993,1.08594,1.29333,0.46217,0.75524,0.57725,0.47929,0.67743,1.5835,1.29932,0.000981765,0.000981765,0.000981765
15,15083.3,0.69444,1.07569,1.29049,0.46386,0.79064,0.59539,0.49135,0.69702,1.58612,1.30797,0.000978873,0.000978873,0.000978873
16,16129,0.69554,1.07429,1.29216,0.47696,0.77138,0.58304,0.47667,0.71036,1.57605,1.32377,0.000975773,0.000975773,0.000975773
17,17110.3,0.68375,1.06856,1.2823,0.48974,0.76822,0.59857,0.49138,0.71037,1.59738,1.32165,0.000972466,0.000972466,0.000972466
18,18068.6,0.68626,1.05929,1.28129,0.50061,0.77348,0.59235,0.48947,0.68927,1.6223,1.30147,0.000968955,0.000968955,0.000968955
19,19027.4,0.68012,1.05781,1.27902,0.50929,0.74633,0.60329,0.49679,0.70213,1.52491,1.30304,0.000965239,0.000965239,0.000965239
20,19986.2,0.67166,1.04941,1.27103,0.5047,0.77009,0.59587,0.49247,0.69445,1.55842,1.30447,0.000961322,0.000961322,0.000961322
21,20997.2,0.67239,1.04289,1.27298,0.49733,0.79765,0.59977,0.49873,0.67536,1.72647,1.28765,0.000957205,0.000957205,0.000957205
