epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.617,1.31583,1.56768,1.77097,0.36835,0.87439,0.47676,0.36576,0.82191,1.47961,1.53135,0.0802234,0.000199764,0.000199764
2,1063.93,1.04752,1.30536,1.53078,0.47858,0.78876,0.58551,0.44234,0.91151,0.97009,1.62782,0.0604233,0.00039972,0.00039972
3,1546.76,0.97508,1.23324,1.46735,0.46837,0.82301,0.54609,0.40313,0.96781,1.1945,1.66558,0.0406231,0.000599503,0.000599503
4,2028.69,0.92381,1.18192,1.43285,0.45896,0.82358,0.59783,0.48354,0.7119,0.87538,1.38378,0.0208226,0.000798983,0.000798983
5,2510,0.90124,1.15595,1.41108,0.48237,0.7963,0.59762,0.46229,0.86131,0.87183,1.54132,0.00102164,0.000998028,0.000998028
6,2990.9,0.8599,1.13237,1.38186,0.50032,0.83682,0.62736,0.52034,0.64795,0.84786,1.29649,0.000997288,0.000997288,0.000997288
7,3471.83,0.83987,1.09496,1.37004,0.53682,0.78238,0.63492,0.54195,0.57566,0.7955,1.23401,0.000996097,0.000996097,0.000996097
8,3952.78,0.81871,1.08552,1.35192,0.53785,0.77685,0.65164,0.53558,0.70142,0.78583,1.35608,0.00099469,0.00099469,0.00099469
9,4434.96,0.81113,1.06746,1.34349,0.59964,0.67772,0.64634,0.5494,0.60086,0.79679,1.25315,0.000993068,0.000993068,0.000993068
